league_name,league_id,league_country
Non League Premier - Southern South,60,England
Non League Premier - Southern Central,931,England
Non League Premier - Northern,59,England
Non League Premier - Isthmian,58,England
Non League Div One - Isthmian North,52,England
Non League Div One - Southern Central,933,England
Non League Div One - Southern South,56,England
Non League Div One - Isthmian South East,57,England
Non League Div One - Northern West,54,England
Non League Div One - Northern Midlands,55,England
Non League Div One - Northern East,932,England
Non League Div One - Isthmian South Central,53,England
UEFA - CONMEBOL - Club Challenge,1024,World
Carioca - 2,625,Brazil
Super League,400,Zambia
1. Division,318,Cyprus
Tweede Divisie,492,Netherlands
First League,343,Armenia
Persian Gulf Pro League,290,Iran
Premyer Liqa,419,Azerbaijan
Thai League 2,297,Thailand
Magyar Kupa,273,Hungary
NB II,272,Hungary
Third League - Southwest,178,Bulgaria
Primera División RFEF - Group 1,435,Spain
Primera División RFEF - Group 2,436,Spain
National 2 - Group A,67,France
National 2 - Group B,68,France
National 2 - Group C,69,France
National 2 - Group D,70,France
Regionalliga - Nordost,85,Germany
Regionalliga - Bayern,83,Germany
Regionalliga - SudWest,86,Germany
Regionalliga - Nord,84,Germany
Regionalliga - West,87,Germany
Eredivisie Women,91,Netherlands
Segunda División RFEF - Group 1,875,Spain
Segunda División RFEF - Group 2,876,Spain
Segunda División RFEF - Group 3,877,Spain
Segunda División RFEF - Group 4,878,Spain
Segunda División RFEF - Group 5,879,Spain
Oberliga - Bayern Süd,939,Germany
Oberliga - Bayern Nord,938,Germany
Oberliga - Nordost-Nord,754,Germany
Oberliga - Nordost-Süd,755,Germany
Oberliga - Hessen,750,Germany
Oberliga - Schleswig-Holstein,744,Germany
Oberliga - Hamburg,745,Germany
Oberliga - Rheinland-Pfalz / Saar,752,Germany
Oberliga - Mittelrhein,746,Germany
Oberliga - Niederrhein,751,Germany
Oberliga - Westfalen,747,Germany
Oberliga - Baden-Württemberg,753,Germany
Oberliga - Niedersachsen,748,Germany
Cup,335,Ukraine
Cup,212,Croatia
Druha Liga,336,Ukraine
Liga II,284,Romania
3. liga - West,644,Slovakia
Third League - Northwest,176,Bulgaria
Oberliga - Bremen,749,Germany
Second League A - Fall Season Gold,1025,Russia
Second League A - Fall Season Silver,1026,Russia
Premiership,179,Scotland
Derde Divisie - Saturday,92,Netherlands
Derde Divisie - Sunday,93,Netherlands
Super Cup,656,Bulgaria
Premier League,762,Mauritania
League Cup,559,Northern-Ireland
U21 Divisie 1,675,Netherlands
2a Divisió,313,Andorra
Campionato Primavera - 1,705,Italy
Liga 1,395,Moldova
Ligue A,566,Burundi
2. Lig,205,Turkey
3. Lig - Group 1,552,Turkey
3. Lig - Group 2,553,Turkey
3. Lig - Group 3,554,Turkey
Prva Liga,287,Serbia
CAF Confederation Cup,20,World
CAF Champions League,12,World
EFL Trophy,46,England
3. Lig - Group 4,1027,Turkey
COTIF Tournament,940,World
Liga de Ascenso,163,Costa-Rica
Coppa Italia,137,Italy
Ligue 1,423,Burkina-Faso
Primera División Femenina,142,Spain
Primera División - Clausura,270,Uruguay
Super Liga,286,Serbia
First League,371,Macedonia
8 Cup,509,South-Africa
League Cup,302,United-Arab-Emirates
3. liga - East,645,Slovakia
FA Cup,181,Scotland
CONCACAF Caribbean Club Shield,534,World
U18 Divisie 1,724,Netherlands
National 3 - Group A,461,France
National 3 - Group B,462,France
National 3 - Group C,463,France
National 3 - Group D,464,France
National 3 - Group E,465,France
National 3 - Group F,466,France
National 3 - Group H,467,France
National 3 - Group I,468,France
National 3 - Group J,469,France
National 3 - Group K,470,France
Concacaf Central American Cup,1028,World
Copa do Brasil U20,617,Brazil
Stars League,305,Qatar
Liga Premier Serie A,722,Mexico
Liga Premier Serie B,872,Mexico
National 3 - Group G,1029,France
Premier Soccer League,288,South-Africa
UEFA Europa League,3,World
Ligue 1,202,Tunisia
Professional Development League,703,England
Premier League,570,Ghana
Third NL - Sredite,216,Croatia
Third NL - Sjever,215,Croatia
Third NL - Istok,213,Croatia
Third NL - Zapad,217,Croatia
Srpska Liga - West,575,Serbia
Srpska Liga - East,574,Serbia
Srpska Liga - Vojvodina,573,Serbia
Srpska Liga - Belgrade,572,Serbia
Campeonato de Portugal Prio - Group A,457,Portugal
